epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,lr/pg0,lr/pg1,lr/pg2
109,2296.33,1.69295,0.10655,0.27502,0.0763,0.9177,0.95314,0.97489,0.96456,0.9177,0.95314,0.97489,0.96456,1,0.60795,0.01076,0.12989,0.02342,0.000196266,0.000196266,0.000196266
110,2316.48,1.6371,0.10889,0.25563,0.05823,0.90701,0.94618,0.97362,0.96368,0.90701,0.94618,0.97362,0.96368,0.99479,0.5712,0.01155,0.14918,0.03724,0.000195348,0.000195348,0.000195348
111,2337.2,1.61752,0.09842,0.24401,0.05088,0.9221,0.93337,0.97309,0.96285,0.9221,0.93337,0.97309,0.96285,1,0.57386,0.0111,0.14488,0.02302,0.000194424,0.000194424,0.000194424
112,2357.78,1.61024,0.10188,0.24163,0.0467,0.92548,0.96208,0.98171,0.97304,0.92548,0.96208,0.98171,0.97304,1,0.52904,0.01006,0.12212,0.01639,0.000193494,0.000193494,0.000193494
113,2379.16,1.6425,0.10463,0.25071,0.05439,0.89597,0.94777,0.97248,0.96316,0.89597,0.94777,0.97248,0.96316,1,0.54743,0.01014,0.12684,0.01643,0.000192559,0.000192559,0.000192559
114,2399.39,1.66367,0.10164,0.25359,0.04517,0.91152,0.94579,0.97455,0.96651,0.91152,0.94579,0.97455,0.96651,0.99747,0.55595,0.01111,0.14321,0.00776,0.000191618,0.000191618,0.000191618
115,2419.35,1.62151,0.1073,0.23916,0.05015,0.91537,0.95986,0.97657,0.9679,0.91537,0.95986,0.97657,0.9679,1,0.52096,0.01021,0.12046,0.0204,0.000190672,0.000190672,0.000190672
116,2439.22,1.71895,0.11035,0.26301,0.0571,0.92984,0.95146,0.98082,0.97387,0.92984,0.95146,0.98082,0.97387,0.99469,0.54646,0.00974,0.11803,0.03116,0.000189721,0.000189721,0.000189721
117,2460.26,1.61635,0.10026,0.22949,0.05058,0.92093,0.9647,0.98315,0.97614,0.92093,0.9647,0.98315,0.97614,0.99741,0.52362,0.00962,0.11034,0.02261,0.000188765,0.000188765,0.000188765
118,2481,1.57882,0.1044,0.23969,0.04178,0.93056,0.9621,0.98264,0.97056,0.93056,0.9621,0.98264,0.97056,0.9974,0.51603,0.01036,0.11811,0.02605,0.000187804,0.000187804,0.000187804
119,2501.98,1.6219,0.09798,0.2604,0.06526,0.92319,0.95568,0.97714,0.96983,0.92319,0.95568,0.97714,0.96983,0.99213,0.52627,0.00992,0.12159,0.02746,0.000186838,0.000186838,0.000186838
120,2522.59,1.62847,0.10919,0.26998,0.05605,0.90914,0.96011,0.9826,0.97397,0.90914,0.96011,0.9826,0.97397,0.99217,0.4958,0.00931,0.11488,0.04165,0.000185867,0.000185867,0.000185867
121,2542.88,1.57082,0.09893,0.22808,0.05747,0.93321,0.96393,0.97704,0.96878,0.93321,0.96393,0.97704,0.96878,1,0.54917,0.00898,0.12173,0.01562,0.000184891,0.000184891,0.000184891
122,2564.11,1.55963,0.0972,0.23377,0.03891,0.9204,0.95836,0.97461,0.96609,0.9204,0.95836,0.97461,0.96609,1,0.51603,0.00972,0.12013,0.02091,0.000183911,0.000183911,0.000183911
